data,titulo,descricao,usuario_cpf,pet_id,status
2019/1/30,adoção,lore ipsum,70279428286,6,0
2019/2/27,adoção,lore ipsum,75515507983,92,1
2019/4/18,adoção,lore ipsum,98506851238,53,0
2019/1/8,adoção,lore ipsum,3895619400,59,1
2019/3/9,adoção,lore ipsum,45612616562,32,0
2019/1/25,adoção,lore ipsum,45733978929,18,1
2019/1/3,adoção,lore ipsum,46241274201,58,0
2019/3/8,adoção,lore ipsum,28064459656,93,1
2019/1/26,adoção,lore ipsum,35753742793,2,0
2019/4/5,adoção,lore ipsum,51974043452,94,0
2019/3/23,adoção,lore ipsum,99544284532,4,1
2019/2/5,adoção,lore ipsum,26256205600,30,0
2019/2/14,adoção,lore ipsum,17962467436,67,1
2019/2/21,adoção,lore ipsum,19846644507,1,1
2019/3/24,adoção,lore ipsum,8767434401,54,1
2019/2/20,adoção,lore ipsum,70733431763,65,1
2019/2/27,adoção,lore ipsum,80678328978,64,0
2019/4/15,adoção,lore ipsum,22009364007,8,1
2019/1/24,adoção,lore ipsum,77227403599,45,1
2019/2/1,adoção,lore ipsum,76910300106,39,0
2019/4/26,adoção,lore ipsum,47045437145,68,1
2019/1/8,adoção,lore ipsum,62328366007,78,1
2019/2/12,adoção,lore ipsum,30572736967,79,0
2019/3/15,adoção,lore ipsum,53547307597,0,0
2019/3/15,adoção,lore ipsum,53882074639,25,1
2019/1/2,adoção,lore ipsum,10528979248,55,1
2019/4/9,adoção,lore ipsum,91066829799,97,1
2019/4/25,adoção,lore ipsum,14413770420,75,0
2019/4/21,adoção,lore ipsum,55021199803,7,0
2019/4/27,adoção,lore ipsum,52064109501,74,0
2019/1/12,adoção,lore ipsum,44826040547,73,0
2019/1/3,adoção,lore ipsum,37333909204,66,0
2019/3/30,adoção,lore ipsum,78901775425,33,0
2019/2/18,adoção,lore ipsum,99578692137,82,1
2019/1/29,adoção,lore ipsum,77652006660,98,0
2019/4/14,adoção,lore ipsum,48586115312,36,0
2019/3/30,adoção,lore ipsum,81849955980,62,1
2019/3/9,adoção,lore ipsum,56258903908,85,0
2019/1/5,adoção,lore ipsum,64639546408,47,1
2019/2/24,adoção,lore ipsum,26389895330,96,0
2019/2/23,adoção,lore ipsum,71399333917,40,0
2019/1/8,adoção,lore ipsum,66527798890,31,1
2019/1/17,adoção,lore ipsum,50618781757,43,0
2019/1/11,adoção,lore ipsum,28010077062,52,0
2019/3/30,adoção,lore ipsum,92386880281,63,1
2019/2/9,adoção,lore ipsum,98144429842,71,0
2019/1/5,adoção,lore ipsum,34627484836,57,0
2019/1/27,adoção,lore ipsum,2371593176,24,1
2019/2/11,adoção,lore ipsum,83625984504,38,0
2019/2/10,adoção,lore ipsum,92829478665,5,1
2019/1/21,adoção,lore ipsum,56126400135,72,1
2019/4/14,adoção,lore ipsum,94520403782,19,0
2019/4/21,adoção,lore ipsum,64884004280,21,0
2019/1/10,adoção,lore ipsum,80071130373,83,1
2019/4/18,adoção,lore ipsum,5944995939,51,1
2019/1/24,adoção,lore ipsum,20523737300,3,1
2019/4/2,adoção,lore ipsum,24474322320,27,0
2019/4/12,adoção,lore ipsum,12624839640,88,1
2019/1/13,adoção,lore ipsum,27225797743,35,0
2019/3/19,adoção,lore ipsum,54656337609,11,0
2019/3/30,adoção,lore ipsum,27117082682,90,1
2019/1/13,adoção,lore ipsum,71340961571,37,0
2019/3/29,adoção,lore ipsum,5643190311,42,0
2019/2/13,adoção,lore ipsum,36218875393,9,0
2019/3/26,adoção,lore ipsum,32056274230,80,1
2019/4/8,adoção,lore ipsum,52175390543,17,1
2019/1/8,adoção,lore ipsum,55069034561,60,1
2019/1/3,adoção,lore ipsum,39858139578,41,0
2019/2/25,adoção,lore ipsum,66862176978,77,0
2019/4/20,adoção,lore ipsum,22552807011,26,0
