cpf_usuario,data_inicio,data_final,meta,saldo_atual,id
77964830740,2019/1/30,2019/2/30,450,62,1
16538352065,2019/2/27,2019/3/27,336,92,2
27117082682,2019/4/18,2019/5/18,823,166,3
63950073604,2019/1/8,2019/2/8,842,154,4
2432696506,2019/3/9,2019/4/9,177,119,5
29536516322,2019/1/25,2019/2/25,349,185,6
56126400135,2019/1/3,2019/2/3,606,186,7
80071130373,2019/3/8,2019/4/8,389,31,8
57173262623,2019/1/26,2019/2/26,829,193,9
10528979248,2019/4/5,2019/5/5,360,70,10
31811612849,2019/3/23,2019/4/23,588,151,11
35678331892,2019/2/5,2019/3/5,776,176,12
99578692137,2019/2/14,2019/3/14,882,94,13
19846644507,2019/2/21,2019/3/21,825,34,14
86798481310,2019/3/24,2019/4/24,753,64,15
31223803589,2019/2/20,2019/3/20,359,95,16
53547307597,2019/2/27,2019/3/27,268,79,17
54656337609,2019/4/15,2019/5/15,368,167,18
35753742793,2019/1/24,2019/2/24,198,95,19
96548126149,2019/2/1,2019/3/1,931,62,20
28004353568,2019/4/26,2019/5/26,446,114,21
37333909204,2019/1/8,2019/2/8,658,45,22
70279428286,2019/2/12,2019/3/12,378,69,23
66123087533,2019/3/15,2019/4/15,279,15,24
48268989670,2019/3/15,2019/4/15,278,7,25
94431822208,2019/1/2,2019/2/2,372,134,26
3895619400,2019/4/9,2019/5/9,318,12,27
13822133361,2019/4/25,2019/5/25,401,182,28
32450774831,2019/4/21,2019/5/21,364,92,29
75515507983,2019/4/27,2019/5/27,451,189,30
9167283233,2019/1/12,2019/2/12,222,75,31
68641552421,2019/1/3,2019/2/3,685,60,32
94856561812,2019/3/30,2019/4/30,491,62,33
51962924629,2019/2/18,2019/3/18,703,175,34
81849955980,2019/1/29,2019/2/29,769,93,35
83575173826,2019/4/14,2019/5/14,68,10,36
26226104082,2019/3/30,2019/4/30,356,156,37
22552807011,2019/3/9,2019/4/9,820,65,38
75044906956,2019/1/5,2019/2/5,443,95,39
43397265592,2019/2/24,2019/3/24,340,94,40
28010077062,2019/2/23,2019/3/23,700,150,41
30593303440,2019/1/8,2019/2/8,274,60,42
52064109501,2019/1/17,2019/2/17,918,14,43
71340961571,2019/1/11,2019/2/11,900,33,44
64639546408,2019/3/30,2019/4/30,360,94,45
46794548305,2019/2/9,2019/3/9,526,56,46
39858139578,2019/1/5,2019/2/5,752,13,47
66432096685,2019/1/27,2019/2/27,206,145,48
9115047539,2019/2/11,2019/3/11,420,27,49
41732254400,2019/2/10,2019/3/10,111,176,50
15674898774,2019/1/21,2019/2/21,934,148,51
21188071637,2019/4/14,2019/5/14,775,78,52
94520403782,2019/4/21,2019/5/21,417,49,53
37035217754,2019/1/10,2019/2/10,572,37,54
39688982571,2019/4/18,2019/5/18,986,160,55
99544284532,2019/1/24,2019/2/24,887,39,56
14413770420,2019/4/2,2019/5/2,920,142,57
48435876489,2019/4/12,2019/5/12,380,172,58
95449487835,2019/1/13,2019/2/13,673,89,59
8767434401,2019/3/19,2019/4/19,216,147,60
26256205600,2019/3/30,2019/4/30,626,46,61
26432726689,2019/1/13,2019/2/13,970,14,62
51974043452,2019/3/29,2019/4/29,151,23,63
2371593176,2019/2/13,2019/3/13,500,71,64
77652006660,2019/3/26,2019/4/26,932,31,65
77227403599,2019/4/8,2019/5/8,733,59,66
56258903908,2019/1/8,2019/2/8,755,70,67
5643190311,2019/1/3,2019/2/3,442,104,68
80678328978,2019/2/25,2019/3/25,329,107,69
20885438485,2019/4/20,2019/5/20,977,13,70
